"Root Domain", "Number of HttpOnly", "Number of Secure", "Number of SameSite", "Number of Lax", "Number of Strict", "Number of None", "Termination Code"
"accounts.google.com","1","2","0","0","0","0","200"
"academia.edu","1","1","1","0","0","0","403"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","400"
"aboutads.info","0","0","0","0","0","0","403"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aliexpress.com","4","5","7","0","0","0","200"
"admin.ch","0","3","3","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"accounts.google.com","0","1","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aliexpress.com","1","1","1","0","0","0","200"
"adobe.com","1","0","1","0","0","0","200"
"academia.edu","1","1","0","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"admin.ch","0","0","4","0","0","0","200"
"academia.edu","1","0","0","0","0","0","200"
"admin.ch","2","1","1","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"accounts.google.com","0","1","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"accounts.google.com","2","1","1","1","0","0","200"
"accounts.google.com","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"accounts.google.com","2","1","1","1","0","0","200"
"admin.ch","0","2","0","0","0","0","200"
"accounts.google.com","2","1","1","1","0","0","200"
"adobe.com","3","1","1","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","1","1","1","0","0","0","403"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"accounts.google.com","1","1","0","0","0","0","200"
"ads.google.com","0","1","0","0","0","0","200"
"accounts.google.com","0","1","1","0","0","0","200"
"academia.edu","0","0","0","0","0","0","403"
"aboutads.info","0","0","0","0","0","0","200"
"admin.ch","0","0","0","0","0","0","200"
"ads.google.com","1","2","1","0","0","0","200"
"adobe.com","4","0","1","0","0","0","200"
"academia.edu","1","0","0","0","0","0","200"
"addthis.com","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","1","1","1","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","1","0","0","0","0","0","200"
"ads.google.com","3","6","6","0","0","0","200"
"adobe.com","0","1","1","0","0","0","200"
"adobe.com","0","3","3","0","0","0","200"
"admin.ch","1","1","1","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","0","1","1","0","0","0","401"
"aboutads.info","0","0","0","0","0","0","200"
"admin.ch","0","2","0","0","0","0","200"
"addthis.com","0","0","0","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"academia.edu","1","1","0","0","0","0","200"
"academia.edu","1","1","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"addthis.com","0","3","3","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"addthis.com","0","2","2","0","0","0","200"
"adobe.com","4","3","4","0","0","0","200"
"addthis.com","0","1","0","0","0","0","404"
"aboutads.info","0","0","0","0","0","0","200"
"ads.google.com","3","4","1","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","1","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","200"
"academia.edu","0","1","0","0","0","0","200"
"admin.ch","0","0","0","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"amazon.co.jp","2","0","0","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"accounts.google.com","2","2","0","0","0","0","200"
"academia.edu","0","0","0","0","0","0","200"
"aboutads.info","0","0","0","0","0","0","403"
"admin.ch","0","0","0","0","0","0","200"
